ano,clube,plantel,jogadores_utilizados,media_idade_plantel,media_idade_time_titular,media_idade
2006,Cruzeiro,52,45,21.7,23.2,23.0
2006,Corinthians,50,39,22.7,24.0,23.8
2006,Figueirense,34,33,21.6,23.8,23.8
2006,Athletico-PR,56,44,22.8,24.6,24.4
2006,Atlético-MG,44,36,23.3,24.3,24.4
2006,Santos,50,36,23.6,25.1,24.7
2006,Fluminense,39,32,22.5,25.1,24.7
2006,Flamengo,41,36,22.7,25.2,24.8
2006,Vasco da Gama,45,36,23.6,25.0,24.8
2006,Palmeiras,39,34,23.4,25.7,25.3
2006,Paraná,48,38,23.0,26.5,25.7
2006,São Paulo,40,35,23.2,25.8,25.8
2006,Goiás,40,33,24.3,26.6,25.9
2006,Juventude,53,53,23.1,26.3,25.9
2006,América-MG,57,54,23.8,26.6,26.1
2006,Grêmio,51,42,22.5,26.3,26.2
2006,Náutico,46,44,24.0,26.5,26.5
2006,Botafogo,55,37,23.9,27.0,26.6
2006,Internacional,55,40,23.9,27.6,27.2
2006,Sport,38,37,25.2,27.5,27.2
2007,Athletico-PR,59,46,22.6,24.4,24.1
2007,Figueirense,53,38,22.5,23.9,24.2
2007,Cruzeiro,51,34,22.3,24.5,24.3
2007,Coritiba,43,37,22.7,24.4,24.4
2007,Grêmio,39,33,22.4,24.3,24.4
2007,Vasco da Gama,60,44,23.4,24.6,24.5
2007,Ipatinga FC,51,45,23.0,25.1,24.9
2007,Fluminense,44,41,22.4,25.7,25.0
2007,Santos,51,46,21.8,25.8,25.1
2007,Atlético-MG,50,41,22.5,25.2,25.2
2007,Flamengo,40,36,22.7,26.5,25.9
2007,Palmeiras,34,29,22.8,26.5,26.1
2007,Vitória,39,32,23.6,25.9,26.2
2007,Botafogo,48,33,24.4,26.5,26.3
2007,Internacional,49,44,23.1,27.1,26.4
2007,Náutico,46,45,23.1,26.4,26.4
2007,Portuguesa,41,34,24.1,26.8,26.7
2007,São Paulo,56,31,22.4,27.2,26.8
2007,Goiás,53,36,24.5,27.7,27.3
