ano,rodada,clube_mandante,clube_visitante,gols_mandante,gols_visitante,data,juiz,publico
2006,1,Juventude,Paraná,1,0,15/04/2006,José Henrique de Carvalho (SP),3.188
2006,1,Vasco da Gama,Internacional,1,1,15/04/2006,Salvio Fagundes Filho,6.671
2006,1,Santa Cruz,Figueirense,0,0,16/04/2006,,
2006,1,São Paulo,Flamengo,1,0,16/04/2006,Paulo Henrique de Godoy Bezerra (SC),12.826
2006,1,Palmeiras,Ponte Preta,2,3,16/04/2006,,
2006,1,Botafogo,Fortaleza,1,0,16/04/2006,,
2006,1,Atlético-PR,Fluminense,1,2,16/04/2006,Alício Pena Junior,Alício
2006,1,São Caetano,Cruzeiro,2,1,16/04/2006,,
2006,1,Grêmio,Corinthians,2,0,16/04/2006,Álvaro Azeredo Quelhas (MG),31.016
2006,1,Goiás,Santos,0,0,16/04/2006,,
2006,2,Corinthians,São Caetano,3,0,22/04/2006,,
2006,2,Fluminense,Goiás,1,0,22/04/2006,Leonardo Gaciba da Silva,Leonardo
2006,2,Figueirense,Palmeiras,6,1,22/04/2006,,
2006,2,Internacional,Santa Cruz,1,0,23/04/2006,,
2006,2,Flamengo,Juventude,3,1,23/04/2006,,
2006,2,Santos,Atlético-PR,2,0,23/04/2006,Clever Assunção Gonçalves/MG,Clever
2006,2,Ponte Preta,Vasco da Gama,1,2,23/04/2006,Luiz Alberto Sardinha Bites (GO),Luiz
2006,2,Fortaleza,São Paulo,1,0,23/04/2006,,
2006,2,Cruzeiro,Grêmio,3,1,23/04/2006,Paulo César de Oliveira,14.773
2006,2,Paraná,Botafogo,0,0,23/04/2006,,
2006,3,Fortaleza,São Caetano,2,1,29/04/2006,,
2006,3,São Paulo,Santa Cruz,4,0,29/04/2006,Domingos de Jesus Viana Filho (PA),Domingos
2006,3,Botafogo,Atlético-PR,0,4,29/04/2006,,
2006,3,Palmeiras,Santos,1,2,30/04/2006,,
2006,3,Paraná,Grêmio,5,2,30/04/2006,Wilson Luiz Seneme,9.124
2006,3,Ponte Preta,Corinthians,3,2,30/04/2006,,
2006,3,Internacional,Flamengo,1,0,30/04/2006,,
2006,3,Juventude,Goiás,1,1,30/04/2006,,
2006,3,Figueirense,Cruzeiro,0,2,30/04/2006,,
2006,3,Vasco da Gama,Fluminense,1,1,30/04/2006,Wilson Souza de Mendonça,26.083
2006,4,Santa Cruz,Ponte Preta,1,1,06/05/2006,,
2006,4,Fluminense,Paraná,2,1,06/05/2006,,
2006,4,Santos,Fortaleza,2,0,06/05/2006,,
