ano,clube,plantel,media_idade,estrangeiros,media_valor_mercado,valor_mercado_total
2006,Santos,50,23.6,6,496000.0,24800000.0
2006,Internacional,55,23.9,6,408000.0,22450000.0
2006,Corinthians,50,22.7,2,441000.0,22050000.0
2006,Fluminense,39,22.5,0,527000.0,20550000.0
2006,São Paulo,40,23.2,2,493000.0,19700000.0
2006,Botafogo,55,23.9,2,310000.0,17070000.0
2006,Grêmio,51,22.5,7,320000.0,16300000.0
2006,Flamengo,41,22.7,2,384000.0,15730000.0
2006,Cruzeiro,52,21.7,1,251000.0,13050000.0
2006,Atlético-MG,44,23.3,1,290000.0,12750000.0
2006,Palmeiras,39,23.4,3,266000.0,10380000.0
2006,Sport,38,25.2,0,172000.0,6550000.0
2006,Clube Atlético Paranaense,56,22.8,8,111000.0,6200000.0
2006,Paraná,48,23.0,0,98000.0,4700000.0
2006,Goiás,40,24.3,2,109000.0,4350000.0
2006,Figueirense,34,21.6,1,122000.0,4150000.000000001
2006,Vasco da Gama,45,23.6,3,80000.0,3600000.0
2006,América-MG,57,23.8,1,38000.0,2180000.0
2006,Juventude,53,23.1,3,32000.0,1700000.0
2006,Náutico,46,24.0,1,28000.0,1300000.0
2007,São Paulo,56,22.4,1,1200000.0,67400000.0
2007,Internacional,49,23.1,5,930000.0,45550000.0
2007,Flamengo,40,22.7,4,726000.0,29050000.0
2007,Palmeiras,34,22.8,1,768000.0,26100000.0
2007,Santos,51,21.8,7,273000.0,13900000.0
2007,Cruzeiro,51,22.3,2,254000.0,12980000.0
2007,Botafogo,48,24.4,3,238000.0,11400000.0
2007,Grêmio,39,22.4,3,273000.0,10650000.0
2007,Fluminense,44,22.4,2,238000.0,10450000.0
2007,Figueirense,53,22.5,1,181000.0,9600000.0
2007,Portuguesa,41,24.1,1,193000.0,7900000.0
2007,Vasco da Gama,60,23.4,5,112000.0,6700000.0
2007,Atlético-MG,50,22.5,4,123000.0,6150000.0
2007,Clube Atlético Paranaense,59,22.6,5,86000.0,5050000.0
2007,Náutico,46,23.1,2,104000.0,4800000.0
2007,Goiás,53,24.5,1,53000.0,2800000.0
2007,Coritiba,43,22.7,3,49000.0,2100000.0
