ano,rodada,classificacao,clube,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos
2006,1,1,Grêmio,1,1,0,0,2,0,2,3
2006,1,2,Ponte Preta,1,1,0,0,3,2,1,3
2006,1,3,Fluminense,1,1,0,0,2,1,1,3
2006,1,3,São Caetano,1,1,0,0,2,1,1,3
2006,1,5,Botafogo,1,1,0,0,1,0,1,3
2006,1,5,Juventude,1,1,0,0,1,0,1,3
2006,1,5,São Paulo,1,1,0,0,1,0,1,3
2006,1,8,Internacional,1,0,1,0,1,1,0,1
2006,1,8,Vasco da Gama,1,0,1,0,1,1,0,1
2006,1,10,Figueirense,1,0,1,0,0,0,0,1
2006,1,10,Goiás,1,0,1,0,0,0,0,1
2006,1,10,Santa Cruz,1,0,1,0,0,0,0,1
2006,1,10,Santos,1,0,1,0,0,0,0,1
2006,1,14,Palmeiras,1,0,0,1,2,3,-1,0
2006,1,15,Atlético-PR,1,0,0,1,1,2,-1,0
2006,1,15,Cruzeiro,1,0,0,1,1,2,-1,0
2006,1,17,Flamengo,1,0,0,1,0,1,-1,0
2006,1,17,Fortaleza,1,0,0,1,0,1,-1,0
2006,1,17,Paraná,1,0,0,1,0,1,-1,0
2006,1,20,Corinthians,1,0,0,1,0,2,-2,0
2006,2,1,Fluminense,2,2,0,0,3,1,2,6
2006,2,2,Figueirense,2,1,1,0,6,1,5,4
2006,2,3,Santos,2,1,1,0,2,0,2,4
2006,2,4,Vasco da Gama,2,1,1,0,3,2,1,4
2006,2,5,Internacional,2,1,1,0,2,1,1,4
2006,2,6,Botafogo,2,1,1,0,1,0,1,4
2006,2,7,Cruzeiro,2,1,0,1,4,3,1,3
2006,2,8,Corinthians,2,1,0,1,3,2,1,3
2006,2,8,Flamengo,2,1,0,1,3,2,1,3
2006,2,10,Ponte Preta,2,1,0,1,4,4,0,3
2006,2,11,Grêmio,2,1,0,1,3,3,0,3
2006,2,12,Fortaleza,2,1,0,1,1,1,0,3
2006,2,12,São Paulo,2,1,0,1,1,1,0,3
2006,2,14,Juventude,2,1,0,1,2,3,-1,3
2006,2,15,São Caetano,2,1,0,1,2,4,-2,3
2006,2,16,Goiás,2,0,1,1,0,1,-1,1
2006,2,16,Paraná,2,0,1,1,0,1,-1,1
2006,2,16,Santa Cruz,2,0,1,1,0,1,-1,1
2006,2,19,Atlético-PR,2,0,0,2,1,4,-3,0
2006,2,20,Palmeiras,2,0,0,2,3,9,-6,0
2006,3,1,Santos,3,2,1,0,4,1,3,7
2006,3,2,Fluminense,3,2,1,0,4,2,2,7
2006,3,3,Internacional,3,2,1,0,3,1,2,7
2006,3,4,São Paulo,3,2,0,1,5,1,4,6
2006,3,5,Cruzeiro,3,2,0,1,6,3,3,6
2006,3,6,Ponte Preta,3,2,0,1,7,6,1,6
2006,3,7,Fortaleza,3,2,0,1,3,2,1,6
2006,3,8,Vasco da Gama,3,1,2,0,4,3,1,5
2006,3,9,Figueirense,3,1,1,1,6,3,3,4
2006,3,10,Paraná,3,1,1,1,5,3,2,4
2006,3,11,Juventude,3,1,1,1,3,4,-1,4
2006,3,12,Botafogo,3,1,1,1,1,4,-3,4
2006,3,13,Atlético-PR,3,1,0,2,5,4,1,3
2006,3,14,Corinthians,3,1,0,2,5,5,0,3
2006,3,15,Flamengo,3,1,0,2,3,3,0,3
2006,3,16,Grêmio,3,1,0,2,5,8,-3,3
2006,3,17,São Caetano,3,1,0,2,3,6,-3,3
2006,3,18,Goiás,3,0,2,1,1,2,-1,2
2006,3,19,Santa Cruz,3,0,1,2,0,5,-5,1
2006,3,20,Palmeiras,3,0,0,3,4,11,-7,0
2006,4,1,Santos,4,3,1,0,6,1,5,10
2006,4,2,Fluminense,4,3,1,0,6,3,3,10
2006,4,3,Internacional,4,3,1,0,5,2,3,10
2006,4,4,São Paulo,4,3,0,1,8,2,6,9
2006,4,5,Cruzeiro,4,3,0,1,8,3,5,9
2006,4,6,Vasco da Gama,4,2,2,0,6,4,2,8
2006,4,7,Ponte Preta,4,2,1,1,8,7,1,7
2006,4,8,Flamengo,4,2,0,2,4,3,1,6
2006,4,9,São Caetano,4,2,0,2,5,6,-1,6
2006,4,10,Fortaleza,4,2,0,2,3,4,-1,6
2006,4,11,Goiás,4,1,2,1,3,3,0,5
2006,4,12,Figueirense,4,1,1,2,7,5,2,4
2006,4,13,Paraná,4,1,1,2,6,5,1,4
2006,4,14,Juventude,4,1,1,2,3,6,-3,4
2006,4,15,Botafogo,4,1,1,2,1,5,-4,4
2006,4,16,Atlético-PR,4,1,0,3,6,6,0,3
2006,4,17,Corinthians,4,1,0,3,6,8,-2,3
2006,4,18,Grêmio,4,1,0,3,6,10,-4,3
2006,4,19,Santa Cruz,4,0,2,2,1,6,-5,2
